Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
13:34:44 Jul 20 2026,97,56,0,0,0
13:34:48 Jul 20 2026,97,54,0,0,0
13:34:52 Jul 20 2026,97,53,0,0,0
13:34:56 Jul 20 2026,97,54,0,0,0
13:35:00 Jul 20 2026,97,56,0,0,0
13:35:04 Jul 20 2026,97,56,0,0,0
13:35:08 Jul 20 2026,98,54,0,0,0
13:35:12 Jul 20 2026,98,54,0,0,0
13:35:16 Jul 20 2026,98,54,0,0,0
13:35:20 Jul 20 2026,97,54,0,0,0
13:35:24 Jul 20 2026,97,56,0,0,0
13:35:28 Jul 20 2026,97,59,0,0,0
13:35:32 Jul 20 2026,97,62,0,0,0
13:35:36 Jul 20 2026,97,60,0,0,0
13:35:40 Jul 20 2026,97,58,0,0,0
13:35:44 Jul 20 2026,97,59,0,0,0
13:35:48 Jul 20 2026,97,57,0,0,0
13:35:52 Jul 20 2026,97,56,0,0,0
13:35:56 Jul 20 2026,97,56,4,0,0
13:36:00 Jul 20 2026,97,57,0,0,0
13:36:04 Jul 20 2026,97,58,0,0,0
13:36:08 Jul 20 2026,98,58,0,0,0
13:36:12 Jul 20 2026,98,58,0,0,0
13:36:16 Jul 20 2026,98,55,0,0,0
13:36:20 Jul 20 2026,98,51,0,0,0
13:36:24 Jul 20 2026,98,50,0,0,0
13:36:28 Jul 20 2026,97,50,0,0,0
13:36:32 Jul 20 2026,97,50,0,0,0
13:36:36 Jul 20 2026,97,52,0,0,0
13:36:40 Jul 20 2026,97,52,0,0,0
13:36:44 Jul 20 2026,97,52,0,0,0
13:36:48 Jul 20 2026,97,52,0,0,0
13:36:52 Jul 20 2026,97,52,0,0,0
13:36:56 Jul 20 2026,97,51,1,0,0
13:37:00 Jul 20 2026,97,52,3,0,0
13:37:04 Jul 20 2026,97,52,0,0,0
13:37:08 Jul 20 2026,97,54,0,0,0
13:37:12 Jul 20 2026,97,55,0,0,0
13:37:16 Jul 20 2026,97,58,0,0,0
13:37:20 Jul 20 2026,97,57,0,0,0
13:37:24 Jul 20 2026,97,54,0,0,0
13:37:28 Jul 20 2026,97,52,0,0,0
13:37:32 Jul 20 2026,97,51,0,0,0
13:37:36 Jul 20 2026,97,52,0,0,0
13:37:40 Jul 20 2026,97,52,0,0,0
13:37:44 Jul 20 2026,97,52,0,0,0
13:37:48 Jul 20 2026,97,52,0,0,0
13:37:52 Jul 20 2026,97,54,0,0,0
13:37:56 Jul 20 2026,97,55,0,0,0
13:38:00 Jul 20 2026,97,55,5,0,0
13:38:04 Jul 20 2026,97,58,0,0,0
13:38:08 Jul 20 2026,97,59,0,0,0
13:38:12 Jul 20 2026,98,60,0,0,0
13:38:16 Jul 20 2026,98,59,0,0,0
13:38:20 Jul 20 2026,98,59,0,0,0
13:38:24 Jul 20 2026,98,60,1,0,0
13:38:28 Jul 20 2026,98,62,1,0,0
13:38:32 Jul 20 2026,98,62,0,0,0
13:38:36 Jul 20 2026,97,61,0,0,0
13:38:40 Jul 20 2026,98,61,0,0,0
13:38:44 Jul 20 2026,98,55,0,0,0
13:38:48 Jul 20 2026,98,51,0,0,0
13:38:52 Jul 20 2026,98,52,0,0,0
13:38:56 Jul 20 2026,97,51,0,0,0
13:39:00 Jul 20 2026,97,52,3,0,0
13:39:04 Jul 20 2026,98,54,1,0,0
13:39:08 Jul 20 2026,97,55,0,0,0
13:39:12 Jul 20 2026,97,55,0,0,0
13:39:16 Jul 20 2026,97,57,0,0,0
13:39:20 Jul 20 2026,97,57,0,0,0
13:39:24 Jul 20 2026,97,57,1,0,0
13:39:28 Jul 20 2026,97,64,0,0,0
13:39:32 Jul 20 2026,97,65,0,0,0
13:39:36 Jul 20 2026,97,63,0,0,0
13:39:40 Jul 20 2026,97,62,0,0,0
13:39:44 Jul 20 2026,97,63,0,0,0
13:39:48 Jul 20 2026,97,62,0,0,0
13:39:52 Jul 20 2026,97,62,3,0,0
13:39:56 Jul 20 2026,97,62,2,0,0
13:40:00 Jul 20 2026,97,62,1,0,0
13:40:04 Jul 20 2026,97,61,1,0,0
13:40:08 Jul 20 2026,97,62,13,0,0
13:40:12 Jul 20 2026,97,62,12,0,0
13:40:16 Jul 20 2026,97,62,3,0,0
13:40:20 Jul 20 2026,97,62,3,0,0
13:40:24 Jul 20 2026,97,62,1,0,0
13:40:28 Jul 20 2026,97,62,1,0,0
13:40:32 Jul 20 2026,98,60,0,0,0
13:40:36 Jul 20 2026,98,56,0,0,0
13:40:40 Jul 20 2026,98,51,0,0,0
13:40:44 Jul 20 2026,98,51,0,0,0
13:40:48 Jul 20 2026,98,51,0,0,0
13:40:52 Jul 20 2026,98,53,1,0,0
13:40:56 Jul 20 2026,98,56,2,0,0
13:41:00 Jul 20 2026,97,57,4,0,0
13:41:04 Jul 20 2026,97,57,2,0,0
13:41:08 Jul 20 2026,98,63,0,0,0
13:41:12 Jul 20 2026,98,65,0,0,0
13:41:16 Jul 20 2026,98,59,0,0,0
13:41:20 Jul 20 2026,98,55,0,0,0
13:41:24 Jul 20 2026,98,51,0,0,0
13:41:28 Jul 20 2026,98,50,1,0,0
13:41:32 Jul 20 2026,98,50,0,0,0
13:41:36 Jul 20 2026,98,50,0,0,0
13:41:40 Jul 20 2026,98,50,2,0,0
13:41:44 Jul 20 2026,98,52,0,0,0
13:41:48 Jul 20 2026,98,53,0,0,0
13:41:52 Jul 20 2026,98,53,0,0,0
13:41:56 Jul 20 2026,98,53,1,0,0
13:42:00 Jul 20 2026,98,53,1,0,0
13:42:04 Jul 20 2026,98,53,1,0,0
13:42:08 Jul 20 2026,98,54,2,0,0
13:42:12 Jul 20 2026,98,54,0,0,0
13:42:16 Jul 20 2026,98,55,0,0,0
13:42:20 Jul 20 2026,98,55,2,0,0
13:42:24 Jul 20 2026,98,55,1,0,0
13:42:28 Jul 20 2026,98,53,0,0,0
13:42:32 Jul 20 2026,98,52,0,0,0
13:42:36 Jul 20 2026,98,49,0,0,0
13:42:40 Jul 20 2026,98,50,0,0,0
13:42:44 Jul 20 2026,98,50,1,0,0
13:42:48 Jul 20 2026,98,50,10,0,0
13:42:52 Jul 20 2026,98,50,1,0,0
13:42:56 Jul 20 2026,98,50,0,0,0
13:43:00 Jul 20 2026,98,51,4,0,0
13:43:04 Jul 20 2026,98,51,2,0,0
13:43:08 Jul 20 2026,98,51,0,0,0
13:43:12 Jul 20 2026,98,56,0,0,0
13:43:16 Jul 20 2026,98,60,0,0,0
13:43:20 Jul 20 2026,98,56,0,0,0
13:43:24 Jul 20 2026,98,51,0,0,0
13:43:28 Jul 20 2026,98,50,0,0,0
13:43:32 Jul 20 2026,98,51,1,0,0
13:43:36 Jul 20 2026,98,54,1,0,0
13:43:40 Jul 20 2026,98,61,0,0,0
13:43:44 Jul 20 2026,98,67,0,0,0
13:43:48 Jul 20 2026,98,67,0,0,0
13:43:52 Jul 20 2026,98,64,0,0,0
13:43:56 Jul 20 2026,98,63,0,0,0
13:44:00 Jul 20 2026,98,64,0,0,0
13:44:04 Jul 20 2026,98,63,4,0,0
13:44:08 Jul 20 2026,98,65,0,0,0
13:44:12 Jul 20 2026,98,69,0,0,0
13:44:16 Jul 20 2026,97,69,2,0,0
13:44:20 Jul 20 2026,97,68,0,0,0
13:44:24 Jul 20 2026,97,62,0,0,0
13:44:28 Jul 20 2026,98,52,0,0,0
13:44:32 Jul 20 2026,98,52,0,0,0
13:44:36 Jul 20 2026,98,50,0,0,0
13:44:40 Jul 20 2026,98,50,0,0,0
13:44:44 Jul 20 2026,98,51,0,0,0
13:44:48 Jul 20 2026,98,52,4,0,0
13:44:52 Jul 20 2026,98,57,2,0,0
13:44:56 Jul 20 2026,98,59,5,0,0
13:45:00 Jul 20 2026,97,61,3,0,0
13:45:04 Jul 20 2026,97,61,5,0,0
13:45:08 Jul 20 2026,97,61,3,0,0
13:45:12 Jul 20 2026,97,62,4,0,0
13:45:16 Jul 20 2026,98,61,0,0,0
13:45:20 Jul 20 2026,98,54,0,0,0
13:45:24 Jul 20 2026,98,51,0,0,0
13:45:28 Jul 20 2026,98,52,0,0,0
13:45:32 Jul 20 2026,98,59,0,0,0
13:45:36 Jul 20 2026,98,67,0,0,0
13:45:40 Jul 20 2026,97,64,0,0,0
13:45:44 Jul 20 2026,97,58,0,0,0
13:45:48 Jul 20 2026,98,55,0,0,0
13:45:52 Jul 20 2026,98,50,0,0,0
13:45:56 Jul 20 2026,98,47,0,0,0
13:46:00 Jul 20 2026,98,47,0,0,0
13:46:04 Jul 20 2026,98,48,0,0,0
13:46:08 Jul 20 2026,98,49,0,0,0
13:46:12 Jul 20 2026,98,50,0,0,0
13:46:16 Jul 20 2026,98,50,0,0,0
13:46:20 Jul 20 2026,97,50,1,0,0
13:46:24 Jul 20 2026,97,50,1,0,0
